source,n_eval,tp_gland,fp_gland,fn_gland,tp_nongland,fp_nongland,fn_nongland,accuracy,precision_gland,recall_gland,f1_gland,precision_nongland,recall_nongland,f1_nongland,f1_macro,n_skipped
spider_scale_hard_tau0.50,167,132,35,0,0,0,35,0.7904191616766467,0.7904191616766467,1.0,0.882943143812709,0.0,0.0,0.0,0.4414715719063545,0
spider_scale_softrenorm_adeno_only_tau0.50,167,132,35,0,0,0,35,0.7904191616766467,0.7904191616766467,1.0,0.882943143812709,0.0,0.0,0.0,0.4414715719063545,0
spider_scale_p_high>0.05_tau0.50,167,132,35,0,0,0,35,0.7904191616766467,0.7904191616766467,1.0,0.882943143812709,0.0,0.0,0.0,0.4414715719063545,0
spider_scale_p_high>0.10_tau0.50,167,132,35,0,0,0,35,0.7904191616766467,0.7904191616766467,1.0,0.882943143812709,0.0,0.0,0.0,0.4414715719063545,0
spider_scale_p_high>0.20_tau0.50,167,132,35,0,0,0,35,0.7904191616766467,0.7904191616766467,1.0,0.882943143812709,0.0,0.0,0.0,0.4414715719063545,0
spider_scale_p_high>0.30_tau0.50,167,132,35,0,0,0,35,0.7904191616766467,0.7904191616766467,1.0,0.882943143812709,0.0,0.0,0.0,0.4414715719063545,0
spider_scale_p_high>0.50_tau0.50,167,132,35,0,0,0,35,0.7904191616766467,0.7904191616766467,1.0,0.882943143812709,0.0,0.0,0.0,0.4414715719063545,0
spider_scale_hard_tau0.25,183,125,58,0,0,0,58,0.6830601092896175,0.6830601092896175,1.0,0.8116883116883117,0.0,0.0,0.0,0.40584415584415584,0
spider_scale_softrenorm_adeno_only_tau0.25,183,125,58,0,0,0,58,0.6830601092896175,0.6830601092896175,1.0,0.8116883116883117,0.0,0.0,0.0,0.40584415584415584,0
spider_scale_p_high>0.05_tau0.25,183,125,58,0,0,0,58,0.6830601092896175,0.6830601092896175,1.0,0.8116883116883117,0.0,0.0,0.0,0.40584415584415584,0
spider_scale_p_high>0.10_tau0.25,183,125,58,0,0,0,58,0.6830601092896175,0.6830601092896175,1.0,0.8116883116883117,0.0,0.0,0.0,0.40584415584415584,0
spider_scale_p_high>0.20_tau0.25,183,125,58,0,0,0,58,0.6830601092896175,0.6830601092896175,1.0,0.8116883116883117,0.0,0.0,0.0,0.40584415584415584,0
spider_scale_p_high>0.30_tau0.25,183,125,58,0,0,0,58,0.6830601092896175,0.6830601092896175,1.0,0.8116883116883117,0.0,0.0,0.0,0.40584415584415584,0
spider_scale_p_high>0.50_tau0.25,183,125,58,0,0,0,58,0.6830601092896175,0.6830601092896175,1.0,0.8116883116883117,0.0,0.0,0.0,0.40584415584415584,0
