x,y,p_BACK,p_NORM,p_DEB,p_TUM,p_ADI,p_MUC,p_MUS,p_STR,p_LYM,p_Cancer,p_Normal,p_Others,group_argmax,kather_topclass,in_roi,p_gland_virchow2,p_gland_uni2,p_gland_phikon-v2,p_gland_ensemble,pred_class_ensemble,gt_label,pred_label,cancer_mask,gt_class,pred_class,correct
50176,9216,1.4501571e-05,0.06205531,0.66862833,0.22548749,3.7833018e-07,0.00025431556,0.0018070455,0.034286674,0.0074659125,0.25977415,0.07132865,0.66889715,Others,DEB,True,0.97134733,0.9433476,0.9252299,0.9466416,gland,0,0,False,gland,gland,False
50688,9216,9.049821e-10,0.0057534794,4.304846e-06,0.9924459,1.4670906e-10,1.337188e-10,1.5876019e-06,3.5834236e-07,0.0017945431,0.99244624,0.00754961,4.3058844e-06,Cancer,TUM,True,0.15817435,0.5544705,0.55103016,0.42122498,non-gland,0,1,True,gland,non-gland,False
51200,9216,1.7305297e-07,0.003392431,0.011325518,0.98525697,3.864028e-09,7.3462693e-06,4.6179093e-06,2.8735499e-06,1.0156606e-05,0.98525983,0.0034072094,0.011333037,Cancer,TUM,True,0.9561454,0.9257686,0.96124375,0.9477193,gland,0,0,True,gland,gland,True
51712,9216,1.3864933e-07,0.0052580205,2.8902983e-05,0.99470115,7.486652e-11,2.174003e-06,7.3632104e-06,2.386043e-06,9.354355e-09,0.99470353,0.005265393,3.1215633e-05,Cancer,TUM,True,0.7505528,0.81227237,0.89029425,0.8177065,gland,0,0,True,gland,gland,True
52224,9216,2.918161e-07,0.0002761994,3.6426816e-05,0.9996834,2.4903997e-11,2.1600365e-06,6.07603e-08,3.6761597e-07,1.0368634e-06,0.99968374,0.00027729705,3.887867e-05,Cancer,TUM,True,0.54383254,0.5672176,0.936285,0.68244505,gland,0,0,True,gland,gland,True
52736,9216,1.5909536e-06,0.0083716735,0.054333486,0.116218366,2.4427538e-07,1.625977e-06,1.272715e-05,0.00014699624,0.82091326,0.116365366,0.8292979,0.0543367,Normal,LYM,True,0.79498243,0.7937462,0.6770471,0.75525856,gland,0,0,False,gland,gland,False
53248,9216,2.438392e-06,0.0006295909,0.64286685,0.33722252,5.1756114e-08,0.00010522909,9.848997e-07,4.6628174e-06,0.019167654,0.33722717,0.019798283,0.6429745,Others,DEB,True,0.38566384,0.11318691,0.39466748,0.2978394,non-gland,0,1,False,gland,non-gland,False
60928,9216,6.0140695e-07,0.23507538,0.08800977,0.5542763,1.0285138e-06,7.832841e-06,1.5229642e-06,9.216992e-06,0.122618355,0.5542855,0.3576963,0.0880182,Cancer,TUM,True,0.17953056,0.32852945,0.55096984,0.35300994,non-gland,0,1,True,gland,non-gland,False
61440,9216,5.630853e-07,0.0007350513,0.013998497,0.977639,9.013687e-08,8.0809195e-06,2.930983e-06,6.0952243e-07,0.007615178,0.9776396,0.00835325,0.014007142,Cancer,TUM,True,0.8230441,0.9142907,0.57045096,0.7692619,gland,0,0,True,gland,gland,True
61952,9216,1.4495471e-08,0.0065673585,1.0348836e-05,0.9934216,1.0785939e-11,1.5976434e-08,4.4363558e-11,1.592889e-10,7.6038134e-07,0.9934216,0.006568119,1.0379308e-05,Cancer,TUM,True,0.42393494,0.48793265,0.63000226,0.5139566,gland,0,1,True,gland,non-gland,False
