x,y,is_tissue,tissue_pct,pct_inROI,pct_nested,gt_label_thr050,gt_label_thr025
0,0,0,0.08271045918367347,0.0,0.0,-1,-1
2240,0,0,0.08784757653061225,0.0,0.0,-1,-1
4480,0,0,0.06728316326530612,0.0,0.0,-1,-1
6720,0,0,0.0521109693877551,0.0,0.0,-1,-1
8960,0,0,0.057707270408163265,0.0,0.0,-1,-1
11200,0,0,0.059575892857142855,0.0,0.0,-1,-1
13440,0,0,0.057184311224489796,0.0,0.0,-1,-1
15680,0,0,0.04631696428571429,0.0,0.0,-1,-1
17920,0,0,0.04551977040816327,0.0,0.0,-1,-1
20160,0,0,0.03763073979591837,0.0,0.0,-1,-1
22400,0,0,0.02781887755102041,0.0,0.0,-1,-1
24640,0,0,0.025631377551020407,0.0,0.0,-1,-1
26880,0,0,0.025832270408163265,0.0,0.0,-1,-1
29120,0,0,0.02024872448979592,0.0,0.0,-1,-1
31360,0,0,0.02260204081632653,0.0,0.0,-1,-1
33600,0,0,0.03131696428571429,0.0,0.0,-1,-1
35840,0,0,0.04558673469387755,0.0,0.0,-1,-1
38080,0,0,0.04908163265306122,0.0,0.0,-1,-1
40320,0,0,0.04705357142857143,0.0,0.0,-1,-1
42560,0,0,0.034279336734693876,0.0,0.0,-1,-1
44800,0,0,0.027605229591836734,0.0,0.0,-1,-1
47040,0,0,0.03459821428571429,0.0,0.0,-1,-1
49280,0,0,0.025331632653061223,0.0,0.0,-1,-1
51520,0,0,0.019435586734693876,0.0,0.0,-1,-1
53760,0,0,0.02539859693877551,0.0,0.0,-1,-1
56000,0,0,0.04830676020408163,0.0,0.0,-1,-1
58240,0,0,0.046415816326530614,0.0,0.0,-1,-1
60480,0,0,0.047541454081632656,0.0,0.0,-1,-1
62720,0,0,0.052104591836734694,0.0,0.0,-1,-1
64960,0,0,0.35231823979591836,0.0,0.0,-1,-1
67200,0,0,0.6484343112244898,0.0,0.0,-1,-1
69440,0,1,0.7325127551020408,0.0,0.0,-1,-1
71680,0,1,0.841578443877551,0.0,0.0,-1,-1
73920,0,1,0.8069579081632653,0.0,0.0,-1,-1
76160,0,1,0.8079815051020408,0.0,0.0,-1,-1
78400,0,1,0.8116804846938775,0.0,0.0,-1,-1
80640,0,1,0.8155006377551021,0.0,0.0,-1,-1
82880,0,1,0.805640943877551,0.0,0.0,-1,-1
85120,0,1,0.8058673469387755,0.0,0.0,-1,-1
87360,0,1,0.7941996173469388,0.0,0.0,-1,-1
89600,0,1,0.7864827806122449,0.0,0.0,-1,-1
91840,0,1,0.7748246173469387,0.0,0.0,-1,-1
94080,0,1,0.7721938775510204,0.0,0.0,-1,-1
96320,0,1,0.777359693877551,0.0,0.0,-1,-1
98560,0,1,0.773781887755102,0.0,0.0,-1,-1
100800,0,1,0.7659183673469387,0.0,0.0,-1,-1
103040,0,1,0.7606281887755102,0.0,0.0,-1,-1
105280,0,1,0.7497863520408163,0.0,0.0,-1,-1
107520,0,1,0.7464795918367347,0.0,0.0,-1,-1
109760,0,1,0.7347480867346938,0.0,0.0,-1,-1
112000,0,1,0.7298246173469388,0.0,0.0,-1,-1
114240,0,1,0.7361288265306123,0.0,0.0,-1,-1
116480,0,1,0.7306600765306123,0.0,0.0,-1,-1
118720,0,1,0.7218431122448979,0.0,0.0,-1,-1
0,2240,0,0.006635841836734694,0.0,0.0,-1,-1
2240,2240,0,0.006795280612244898,0.0,0.0,-1,-1
4480,2240,0,0.006033163265306123,0.0,0.0,-1,-1
6720,2240,0,0.005392219387755102,0.0,0.0,-1,-1
8960,2240,0,0.004435586734693878,0.0,0.0,-1,-1
11200,2240,0,0.0061001275510204084,0.0,0.0,-1,-1
13440,2240,0,0.0026052295918367347,0.0,0.0,-1,-1
15680,2240,0,0.005424107142857143,0.0,0.0,-1,-1
17920,2240,0,0.006103316326530613,0.0,0.0,-1,-1
20160,2240,0,0.003077168367346939,0.0,0.0,-1,-1
22400,2240,0,0.0033290816326530612,0.0,0.0,-1,-1
24640,2240,0,0.002649872448979592,0.0,0.0,-1,-1
26880,2240,0,0.003740433673469388,0.0,0.0,-1,-1
29120,2240,0,0.001801658163265306,0.0,0.0,-1,-1
31360,2240,0,0.0027710459183673468,0.0,0.0,-1,-1
33600,2240,0,0.004697066326530612,0.0,0.0,-1,-1
35840,2240,0,0.0687531887755102,0.0,0.0,-1,-1
38080,2240,0,0.011307397959183674,0.0,0.0,-1,-1
40320,2240,0,0.005210459183673469,0.0,0.0,-1,-1
42560,2240,0,0.0033737244897959185,0.0,0.0,-1,-1
44800,2240,0,0.004853316326530612,0.0,0.0,-1,-1
47040,2240,0,0.0023246173469387756,0.0,0.0,-1,-1
49280,2240,0,0.004569515306122449,0.0,0.0,-1,-1
51520,2240,0,0.0036575255102040817,0.0,0.0,-1,-1
53760,2240,0,0.002624362244897959,0.0,0.0,-1,-1
56000,2240,0,0.005739795918367347,0.0,0.0,-1,-1
58240,2240,0,0.003644770408163265,0.0,0.0,-1,-1
60480,2240,0,0.002346938775510204,0.0,0.0,-1,-1
62720,2240,0,0.16005739795918367,0.0,0.0,-1,-1
64960,2240,0,0.5723883928571428,0.0,0.0,-1,-1
67200,2240,1,0.75359375,0.0,0.0,-1,-1
69440,2240,1,0.7405293367346939,0.0,0.0,-1,-1
71680,2240,0,0.20451211734693878,0.0,0.0,-1,-1
73920,2240,0,0.2933864795918367,0.0,0.0,-1,-1
76160,2240,0,0.34128507653061224,0.0,0.0,-1,-1
78400,2240,0,0.3668048469387755,0.0,0.0,-1,-1
80640,2240,0,0.4000063775510204,0.0,0.0,-1,-1
82880,2240,0,0.42221301020408164,0.0,0.0,-1,-1
85120,2240,0,0.42714923469387756,0.0,0.0,-1,-1
87360,2240,0,0.43129464285714286,0.0,0.0,-1,-1
89600,2240,0,0.43777742346938775,0.0,0.0,-1,-1
91840,2240,0,0.4511575255102041,0.0,0.0,-1,-1
94080,2240,0,0.44370535714285714,0.0,0.0,-1,-1
96320,2240,0,0.4605484693877551,0.0,0.0,-1,-1
98560,2240,0,0.4650063775510204,0.0,0.0,-1,-1
100800,2240,0,0.45700892857142855,0.0,0.0,-1,-1
103040,2240,0,0.4599266581632653,0.0,0.0,-1,-1
105280,2240,0,0.46816326530612246,0.0,0.0,-1,-1
107520,2240,0,0.4667219387755102,0.0,0.0,-1,-1
109760,2240,0,0.4587468112244898,0.0,0.0,-1,-1
112000,2240,0,0.4563329081632653,0.0,0.0,-1,-1
114240,2240,0,0.45918048469387757,0.0,0.0,-1,-1
116480,2240,0,0.47666135204081633,0.0,0.0,-1,-1
118720,2240,0,0.4678093112244898,0.0,0.0,-1,-1
0,4480,0,0.00023596938775510205,0.0,0.0,-1,-1
2240,4480,0,0.00014668367346938775,0.0,0.0,-1,-1
4480,4480,0,6.377551020408164e-05,0.0,0.0,-1,-1
6720,4480,0,9.885204081632654e-05,0.0,0.0,-1,-1
8960,4480,0,2.5510204081632654e-05,0.0,0.0,-1,-1
11200,4480,0,0.10259566326530613,0.0,0.0,-1,-1
13440,4480,0,0.35958864795918366,0.0,0.0,-1,-1
15680,4480,0,0.053128188775510204,0.0,0.0,-1,-1
17920,4480,0,6.3775510204081635e-06,0.0,0.0,-1,-1
20160,4480,0,7.334183673469388e-05,0.0,0.0,-1,-1
22400,4480,0,0.0001913265306122449,0.0,0.0,-1,-1
24640,4480,0,0.0002933673469387755,0.0,0.0,-1,-1
26880,4480,0,8.290816326530613e-05,0.0,0.0,-1,-1
29120,4480,0,0.0011989795918367348,0.0,0.0,-1,-1
31360,4480,0,0.025975765306122448,0.0,0.0,-1,-1
33600,4480,0,0.6054591836734694,0.0,0.0,-1,-1
35840,4480,1,0.9228539540816326,0.0,0.0,-1,-1
38080,4480,1,0.785765306122449,0.0,0.0,-1,-1
40320,4480,0,0.013871173469387755,0.0,0.0,-1,-1
42560,4480,0,5.420918367346939e-05,0.0,0.0,-1,-1
44800,4480,0,0.0,0.0,0.0,-1,-1
47040,4480,0,0.0,0.0,0.0,-1,-1
49280,4480,0,7.653061224489796e-05,0.0,0.0,-1,-1
51520,4480,0,0.0,0.0,0.0,-1,-1
53760,4480,0,7.653061224489796e-05,0.0,0.0,-1,-1
56000,4480,0,0.00021683673469387755,0.0,0.0,-1,-1
58240,4480,0,0.0001052295918367347,0.0,0.0,-1,-1
60480,4480,0,0.015529336734693878,0.0,0.0,-1,-1
62720,4480,1,0.8522002551020408,0.0,0.0,-1,-1
64960,4480,1,0.8633195153061225,0.0,0.0,-1,-1
67200,4480,1,0.7783928571428571,0.0,0.0,-1,-1
69440,4480,1,0.9205229591836734,0.0,0.0,-1,-1
71680,4480,0,0.6020727040816326,0.0,0.0,-1,-1
73920,4480,0,0.07182716836734694,0.0,0.0,-1,-1
76160,4480,0,1.913265306122449e-05,0.0,0.0,-1,-1
78400,4480,0,0.0001052295918367347,0.0,0.0,-1,-1
80640,4480,0,5.7397959183673466e-05,0.0,0.0,-1,-1
82880,4480,0,0.0,0.0,0.0,-1,-1
85120,4480,0,0.0005293367346938775,0.0,0.0,-1,-1
87360,4480,0,4.1454081632653064e-05,0.0,0.0,-1,-1
89600,4480,0,0.00014668367346938775,0.0,0.0,-1,-1
91840,4480,0,0.0004145408163265306,0.0,0.0,-1,-1
94080,4480,0,4.464285714285714e-05,0.0,0.0,-1,-1
96320,4480,0,0.00016262755102040816,0.0,0.0,-1,-1
98560,4480,0,0.0004177295918367347,0.0,0.0,-1,-1
100800,4480,0,7.01530612244898e-05,0.0,0.0,-1,-1
103040,4480,0,0.0001403061224489796,0.0,0.0,-1,-1
105280,4480,0,0.0,0.0,0.0,-1,-1
107520,4480,0,0.007123724489795919,0.0,0.0,-1,-1
109760,4480,0,0.01461734693877551,0.0,0.0,-1,-1
112000,4480,0,0.0001052295918367347,0.0,0.0,-1,-1
114240,4480,0,2.5510204081632654e-05,0.0,0.0,-1,-1
116480,4480,0,4.783163265306122e-05,0.0,0.0,-1,-1
118720,4480,0,0.003169642857142857,0.0,0.0,-1,-1
0,6720,0,1.2755102040816327e-05,0.0,0.0,-1,-1
2240,6720,0,0.0001371173469387755,0.0,0.0,-1,-1
4480,6720,0,2.5510204081632654e-05,0.0,0.0,-1,-1
6720,6720,0,9.247448979591836e-05,0.0,0.0,-1,-1
8960,6720,0,3.188775510204082e-05,0.0,0.0,-1,-1
11200,6720,0,0.2944547193877551,0.0,0.0,-1,-1
13440,6720,1,0.9572257653061225,0.0,0.0,-1,-1
15680,6720,1,0.832531887755102,0.0,0.0,-1,-1
17920,6720,0,0.019933035714285716,0.0,0.0,-1,-1
20160,6720,0,0.15657525510204082,0.0,0.0,-1,-1
22400,6720,0,0.2339827806122449,0.0,0.0,-1,-1
24640,6720,0,0.08060586734693878,0.0,0.0,-1,-1
26880,6720,0,0.5841804846938775,0.0,0.0,-1,-1
29120,6720,0,0.5936894132653061,0.0,0.0,-1,-1
31360,6720,0,0.6498533163265307,0.0,0.0,-1,-1
33600,6720,1,0.9102678571428572,0.0,0.0,-1,-1
35840,6720,1,0.9446205357142857,0.0,0.0,-1,-1
38080,6720,1,0.9268494897959184,0.0,0.0,-1,-1
40320,6720,1,0.7218813775510204,0.0,0.0,-1,-1
42560,6720,0,0.02092155612244898,0.0,0.0,-1,-1
44800,6720,0,6.696428571428572e-05,0.0,0.0,-1,-1
47040,6720,0,3.188775510204082e-05,0.0,0.0,-1,-1
49280,6720,0,0.009681122448979592,0.09970781592403213,0.0,-1,-1
51520,6720,0,0.0003443877551020408,0.1891891891891892,0.0,-1,-1
53760,6720,0,0.00011479591836734693,0.1891891891891892,0.0,-1,-1
56000,6720,0,2.232142857142857e-05,0.1891891891891892,0.0,-1,-1
58240,6720,0,0.0002614795918367347,0.1891891891891892,0.0,-1,-1
60480,6720,0,0.4188329081632653,0.1891891891891892,0.0,-1,-1
62720,6720,1,0.9360522959183674,0.1891891891891892,0.0,-1,-1
64960,6720,1,0.9051275510204082,0.1891891891891892,0.0,-1,-1
67200,6720,1,0.7064891581632653,0.1891891891891892,0.0,-1,-1
69440,6720,1,0.9495376275510204,0.1891891891891892,0.013873873873873874,-1,-1
71680,6720,1,0.9046364795918367,0.1891891891891892,0.07405405405405406,-1,-1
73920,6720,0,0.47212691326530615,0.1891891891891892,0.0,-1,-1
76160,6720,0,0.00021364795918367346,0.1891891891891892,0.0,-1,-1
78400,6720,0,5.102040816326531e-05,0.1891891891891892,0.0,-1,-1
80640,6720,0,0.00013073979591836734,0.1891891891891892,0.0,-1,-1
82880,6720,0,4.1454081632653064e-05,0.18414414414414415,0.0,-1,-1
85120,6720,0,0.0,0.0,0.0,-1,-1
87360,6720,0,0.00016262755102040816,0.0,0.0,-1,-1
89600,6720,0,3.188775510204082e-05,0.0,0.0,-1,-1
91840,6720,0,0.018306760204081632,0.0,0.0,-1,-1
94080,6720,0,0.11154655612244897,0.0,0.0,-1,-1
96320,6720,0,0.0005357142857142857,0.0,0.0,-1,-1
98560,6720,0,0.00018494897959183673,0.0,0.0,-1,-1
100800,6720,0,0.0002072704081632653,0.0,0.0,-1,-1
103040,6720,0,0.0002104591836734694,0.0,0.0,-1,-1
105280,6720,0,0.027582908163265307,0.0,0.0,-1,-1
107520,6720,0,0.4175988520408163,0.0,0.0,-1,-1
109760,6720,0,0.6080548469387755,0.0,0.0,-1,-1
112000,6720,0,0.09766581632653061,0.0,0.0,-1,-1
114240,6720,0,0.0002072704081632653,0.0,0.0,-1,-1
116480,6720,0,7.01530612244898e-05,0.0,0.0,-1,-1
118720,6720,0,0.0001913265306122449,0.0,0.0,-1,-1
0,8960,0,7.01530612244898e-05,0.0,0.0,-1,-1
2240,8960,0,1.594387755102041e-05,0.0,0.0,-1,-1
4480,8960,0,9.566326530612244e-06,0.0,0.0,-1,-1
6720,8960,0,1.913265306122449e-05,0.0,0.0,-1,-1
8960,8960,0,0.0,0.0,0.0,-1,-1
11200,8960,0,0.4146875,0.0,0.0,-1,-1
13440,8960,1,0.9580867346938775,0.0,0.0,-1,-1
15680,8960,1,0.9454049744897959,0.0,0.0,-1,-1
17920,8960,1,0.7357302295918368,0.0,0.0,-1,-1
20160,8960,1,0.8403571428571428,0.0,0.0,-1,-1
22400,8960,1,0.8991422193877551,0.0,0.0,-1,-1
24640,8960,0,0.37721619897959185,0.0,0.0,-1,-1
26880,8960,1,0.762063137755102,0.0,0.0,-1,-1
29120,8960,1,0.7136001275510204,0.0,0.0,-1,-1
31360,8960,1,0.8803029336734693,0.0,0.0,-1,-1
33600,8960,1,0.9315338010204082,0.0,0.0,-1,-1
35840,8960,1,0.9444132653061225,0.0,0.0,-1,-1
38080,8960,1,0.9144323979591836,0.0,0.0,-1,-1
40320,8960,1,0.7950127551020408,0.0,0.0,-1,-1
42560,8960,0,0.386594387755102,0.0,0.0,-1,-1
44800,8960,0,0.07802614795918367,0.0,0.0,-1,-1
47040,8960,0,0.37434948979591837,0.0,0.0,-1,-1
49280,8960,1,0.8495089285714286,0.527027027027027,0.0,0,0
51520,8960,1,0.8894387755102041,1.0,0.0,0,0
53760,8960,0,0.56171875,1.0,0.0,0,0
56000,8960,0,0.00980548469387755,1.0,0.0,0,0
58240,8960,0,0.0002264030612244898,1.0,0.0,0,0
60480,8960,0,0.6870216836734694,1.0,0.0,0,0
62720,8960,1,0.9163775510204082,1.0,0.0,0,0
64960,8960,1,0.8772608418367347,1.0,0.08942222222222222,0,0
67200,8960,1,0.7739349489795918,1.0,0.002702702702702703,0,0
69440,8960,1,0.9546588010204081,1.0,0.10595555555555555,0,0
71680,8960,1,0.8974968112244898,1.0,0.04391111111111111,0,0
73920,8960,1,0.8312468112244898,1.0,0.0,0,0
76160,8960,0,0.10603954081632654,1.0,0.0,0,0
78400,8960,0,3.188775510204082e-05,1.0,0.0,0,0
80640,8960,0,8.928571428571429e-05,1.0,0.0,0,0
82880,8960,0,2.8698979591836733e-05,0.9733333333333334,0.0,0,0
85120,8960,0,0.0,0.0,0.0,-1,-1
87360,8960,0,0.014244260204081633,0.0,0.0,-1,-1
89600,8960,0,0.1550031887755102,0.0,0.0,-1,-1
91840,8960,0,0.44026785714285716,0.0,0.0,-1,-1
94080,8960,1,0.7155229591836735,0.0,0.0,-1,-1
96320,8960,0,0.029521683673469388,0.0,0.0,-1,-1
98560,8960,0,0.05561543367346939,0.0,0.0,-1,-1
100800,8960,0,0.0,0.0,0.0,-1,-1
103040,8960,0,1.913265306122449e-05,0.0,0.0,-1,-1
105280,8960,0,0.0003316326530612245,0.0,0.0,-1,-1
107520,8960,0,0.06484056122448979,0.0,0.0,-1,-1
109760,8960,0,0.2971843112244898,0.0,0.0,-1,-1
112000,8960,0,0.15712691326530612,0.0,0.0,-1,-1
114240,8960,0,4.464285714285714e-05,0.0,0.0,-1,-1
116480,8960,0,4.783163265306122e-05,0.0,0.0,-1,-1
118720,8960,0,6.3775510204081635e-06,0.0,0.0,-1,-1
0,11200,0,7.653061224489796e-05,0.0,0.0,-1,-1
2240,11200,0,7.334183673469388e-05,0.0,0.0,-1,-1
4480,11200,0,0.00016581632653061225,0.0,0.0,-1,-1
6720,11200,0,6.696428571428572e-05,0.0,0.0,-1,-1
8960,11200,0,6.377551020408164e-05,0.0,0.0,-1,-1
11200,11200,0,0.3928252551020408,0.0,0.0,-1,-1
13440,11200,1,0.9251658163265306,0.0,0.0,-1,-1
15680,11200,1,0.9260395408163266,0.0,0.0,-1,-1
17920,11200,1,0.962764668367347,0.0,0.0,-1,-1
20160,11200,1,0.9413137755102041,0.0,0.0,-1,-1
22400,11200,1,0.8564094387755102,0.0,0.0,-1,-1
24640,11200,1,0.8324585459183673,0.0,0.0,-1,-1
26880,11200,1,0.7511894132653061,0.0,0.0,-1,-1
29120,11200,1,0.9227646683673469,0.0,0.0,-1,-1
31360,11200,1,0.8391390306122449,0.0,0.0,-1,-1
33600,11200,1,0.9112404336734694,0.0,0.0,-1,-1
35840,11200,1,0.9458641581632653,0.0,0.0,-1,-1
38080,11200,1,0.9059247448979592,0.0,0.0,-1,-1
40320,11200,0,0.4472130102040816,0.0,0.0,-1,-1
42560,11200,1,0.8831823979591836,0.0,0.0,-1,-1
44800,11200,0,0.6607429846938776,0.0,0.0,-1,-1
47040,11200,1,0.847624362244898,0.0,0.0,-1,-1
49280,11200,1,0.9305293367346938,0.527027027027027,0.09675675675675675,0,0
51520,11200,1,0.9234661989795918,1.0,0.09991111111111112,0,0
53760,11200,1,0.9770121173469388,1.0,0.06062222222222222,0,0
