file,p_Adenocarcinoma_high_grade,p_Adenocarcinoma_low_grade,p_Adenoma_high_grade,p_Adenoma_low_grade,p_Fat,p_Hyperplastic_polyp,p_Inflammation,p_Mucus,p_Muscle,p_Necrosis,p_Sessile_serrated_lesion,p_Stroma_healthy,p_Vessels
slide_0000__patch_0019319.png,0.99372804,0.0058367383,0.000118672724,1.2296785e-05,4.851651e-05,1.4672872e-05,4.2768166e-05,1.0823535e-05,4.696246e-05,5.954455e-05,1.0267424e-05,4.0011142e-05,3.0737727e-05
slide_0000__patch_0038086.png,0.9980767,0.0009803438,2.0729645e-05,1.3201179e-05,6.533522e-05,3.585846e-05,0.0004920195,3.416737e-05,5.4853677e-05,0.00017986087,4.621604e-06,2.8615368e-05,1.3837976e-05
slide_0000__patch_0044877.png,0.9986822,0.00046016177,1.1147858e-05,1.11036225e-05,6.3296386e-05,2.9485927e-05,0.0005022401,2.8740327e-05,4.7582904e-05,0.00012409092,4.2090737e-06,2.0670539e-05,1.4950081e-05
slide_0000__patch_0053875.png,0.99676394,0.002757284,3.8729035e-05,8.5640695e-06,5.851391e-05,1.6188125e-05,6.9319525e-05,2.3583905e-05,3.598284e-05,0.00018126253,5.940553e-06,2.3141452e-05,1.749009e-05
slide_0000__patch_0055684.png,0.99955887,0.00012912227,1.8508521e-05,1.3253138e-05,4.919388e-05,1.2026679e-05,4.8521677e-05,8.576943e-06,7.8026176e-05,2.2962746e-05,4.8200973e-06,3.6814414e-05,1.934393e-05
slide_0000__patch_0067685.png,0.9982974,0.0012931776,5.968887e-05,8.058928e-06,2.532105e-05,1.6875807e-05,0.00013045693,1.2029373e-05,5.3384018e-05,7.2469236e-05,5.0921044e-06,1.573085e-05,1.0227546e-05
slide_0000__patch_0092713.png,0.99833703,0.0013367981,3.6751186e-05,1.18060525e-05,3.607536e-05,1.6102265e-05,5.1244828e-05,1.0864604e-05,4.075697e-05,6.131483e-05,5.1751936e-06,4.2041876e-05,1.3981699e-05
slide_0000__patch_0104823.png,0.98898965,0.010040237,0.00052117155,1.8778115e-05,6.639584e-05,1.1279431e-05,8.3175066e-05,1.4027656e-05,4.0721457e-05,0.0001513641,1.6514674e-05,3.1566473e-05,1.5184664e-05
slide_0000__patch_0105279.png,0.9994287,0.00016862439,9.979509e-06,9.216502e-06,5.9043323e-05,1.5157969e-05,6.549327e-05,1.5405927e-05,5.4654967e-05,0.00012840642,7.702614e-06,1.3332883e-05,2.4202096e-05
slide_0000__patch_0107082.png,0.9932527,0.006252772,0.00014181601,7.192175e-06,9.577238e-05,9.128643e-06,6.855799e-05,9.530947e-06,3.2252065e-05,4.6448597e-05,7.5258135e-06,4.415466e-05,3.2191223e-05
