slide,source,class,tag,filename,x,y,p_gland_virchow2,p_gland_uni2,p_gland_phikon-v2,p_gland_ensemble
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x54272_y37376_hi.png,54272,37376,0.9998535,0.97702265,0.94122344,0.9726999
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x55808_y28160_hi.png,55808,28160,0.99981767,0.9026096,0.99253935,0.9649889
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x68096_y22528_hi.png,68096,22528,0.9997695,0.84389514,0.9825575,0.94207406
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x72192_y34304_hi.png,72192,34304,0.9997086,0.9839708,0.99242276,0.992034
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x35328_y25088_hi.png,35328,25088,0.99969935,0.85776806,0.9697854,0.9424176
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x115712_y37888_hi.png,115712,37888,0.99961406,0.97821885,0.947381,0.97507125
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x111616_y38400_hi.png,111616,38400,0.9996018,0.97423947,0.987375,0.98707205
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x54784_y37376_hi.png,54784,37376,0.9995627,0.9666631,0.8864204,0.95088214
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x67072_y22528_hi.png,67072,22528,0.9995122,0.87321484,0.7401744,0.87096715
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x68096_y24064_hi.png,68096,24064,0.99948066,0.9843364,0.9740426,0.9859533
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x51200_y27136_hi.png,51200,27136,0.99948066,0.8665848,0.6861598,0.8507418
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x56320_y18432_hi.png,56320,18432,0.99939287,0.96691406,0.97134733,0.97921807
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x65536_y23552_hi.png,65536,23552,0.99938333,0.87578696,0.9507779,0.94198275
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x50176_y27136_hi.png,50176,27136,0.99936384,0.95362175,0.95759624,0.9701939
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x55296_y37376_hi.png,55296,37376,0.9993538,0.9458012,0.8568123,0.9339891
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x35840_y26112_hi.png,35840,26112,0.9993228,0.92892635,0.9257686,0.95133924
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x110592_y28160_hi.png,110592,28160,0.99931216,0.96210754,0.9688562,0.97675866
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x92160_y25600_hi.png,92160,25600,0.9993013,0.95976204,0.9860443,0.9817025
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x66560_y19968_hi.png,66560,19968,0.9992446,0.8749346,0.9394706,0.9378832
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x34816_y26624_hi.png,34816,26624,0.9992446,0.8984105,0.9603612,0.95267206
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x35328_y24576_hi.png,35328,24576,0.9992206,0.9722044,0.929951,0.96712536
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x65536_y24064_hi.png,65536,24064,0.9992206,0.8710367,0.88161486,0.91729075
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x66560_y24064_hi.png,66560,24064,0.9992084,0.9683812,0.95292586,0.9735052
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x67072_y19968_hi.png,67072,19968,0.9991959,0.97324073,0.96458924,0.9790087
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x45056_y23552_hi.png,45056,23552,0.9991959,0.96538115,0.9885804,0.9843858
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x67072_y25088_hi.png,67072,25088,0.99918324,0.97539,0.92468774,0.96642035
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x117248_y36864_hi.png,117248,36864,0.9991573,0.9012275,0.947381,0.9492553
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x83456_y8192_hi.png,83456,8192,0.9991441,0.98951083,0.9324533,0.9737027
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x71680_y32768_hi.png,71680,32768,0.99913067,0.880797,0.908618,0.9295152
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x68608_y23040_hi.png,68608,23040,0.9990746,0.97090924,0.97134733,0.9804437
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x92160_y26112_hi.png,92160,26112,0.9990601,0.9881309,0.9425068,0.9765659
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x64000_y13824_hi.png,64000,13824,0.99903023,0.94776917,0.9615338,0.96944445
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x71680_y31744_hi.png,71680,31744,0.99899954,0.8740772,0.9092645,0.9274471
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x67584_y24576_hi.png,67584,24576,0.99899954,0.97090924,0.96814114,0.9793499
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x83968_y9216_hi.png,83968,9216,0.99899954,0.97887486,0.9559813,0.97795194
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x75264_y12800_hi.png,75264,12800,0.9989183,0.85342485,0.9700135,0.9407856
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x50688_y25600_hi.png,50688,25600,0.9989183,0.95257413,0.9001793,0.95055723
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x57344_y16896_hi.png,57344,16896,0.99890125,0.9437636,0.9830851,0.97525
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x70144_y24064_hi.png,70144,24064,0.998884,0.95822614,0.9606575,0.9725892
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x51200_y26112_hi.png,51200,26112,0.99879336,0.97046465,0.83601975,0.9350926
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x51200_y26624_hi.png,51200,26624,0.99877447,0.9257686,0.7937462,0.90609646
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x50688_y27648_hi.png,50688,27648,0.99877447,0.9700135,0.91550726,0.96143174
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x34816_y25600_hi.png,34816,25600,0.9987551,0.88602656,0.83867973,0.90782046
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x34816_y24064_hi.png,34816,24064,0.9987551,0.9046505,0.7823301,0.89524525
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x67072_y23552_hi.png,67072,23552,0.9987356,0.8887587,0.9394706,0.9423216
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x55296_y37888_hi.png,55296,37888,0.99871576,0.9736447,0.87997437,0.95077825
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x68608_y25600_hi.png,68608,25600,0.99869555,0.9861514,0.96814114,0.9843294
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x72704_y30208_hi.png,72704,30208,0.9986749,0.8494724,0.9522199,0.93345577
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x51712_y26624_hi.png,51712,26624,0.9986541,0.93045825,0.85536855,0.92816037
S14-10234-2-3,virchow2,gland,high_conf,S14-10234-2-3_x43520_y22528_hi.png,43520,22528,0.99861145,0.9805807,0.97262347,0.9839385
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x118784_y54272_bd.png,118784,54272,0.5,0.21866938,0.31700322,0.34522423
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x18944_y39936_bd.png,18944,39936,0.5,0.3508661,0.5546514,0.46850583
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x44544_y14848_bd.png,44544,14848,0.5,0.80193585,0.92788786,0.7432746
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x68096_y32768_bd.png,68096,32768,0.5,0.40556642,0.28856912,0.39804518
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x107520_y32256_bd.png,107520,32256,0.50024414,0.5679366,0.43794367,0.5020415
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x95232_y22528_bd.png,95232,22528,0.5004883,0.06512755,0.21700549,0.26087376
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x103424_y60928_bd.png,103424,60928,0.5004883,0.46441573,0.7599387,0.5749476
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x102912_y43008_bd.png,102912,43008,0.50131226,0.6148566,0.48986956,0.53534615
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x122368_y53248_bd.png,122368,53248,0.50146484,0.52445555,0.31912136,0.44834724
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x86016_y22016_bd.png,86016,22016,0.501709,0.31320965,0.3484234,0.38778067
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x114176_y35328_bd.png,114176,35328,0.5019531,0.30033502,0.858244,0.5535107
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x52224_y24064_bd.png,52224,24064,0.5019531,0.5039062,0.9161096,0.6406563
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x86016_y43008_bd.png,86016,43008,0.5019531,0.071073666,0.29178742,0.2882714
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x100864_y20480_bd.png,100864,20480,0.50214386,0.4795037,0.79881525,0.59348756
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x98816_y25600_bd.png,98816,25600,0.5028076,0.20370753,0.22746935,0.31132817
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x96768_y13824_bd.png,96768,13824,0.5029296,0.6493563,0.48633155,0.5462058
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x92160_y20992_bd.png,92160,20992,0.5029296,0.1334152,0.9257686,0.5207045
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x84992_y13824_bd.png,84992,13824,0.5029296,0.5084221,0.87147486,0.62760884
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x27136_y46080_bd.png,27136,46080,0.5029296,0.12852514,0.36342093,0.33162522
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x29184_y29184_bd.png,29184,29184,0.5029296,0.69035035,0.8267118,0.6733306
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x103424_y32256_bd.png,103424,32256,0.5029296,0.109705776,0.2693256,0.293987
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x78336_y17408_bd.png,78336,17408,0.5029296,0.30673468,0.37903354,0.3962326
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x99328_y26112_bd.png,99328,26112,0.5032348,0.48303872,0.8596637,0.6153124
S14-10234-2-3,virchow2,gland,boundary,S14-10234-2-3_x52736_y24576_bd.png,52736,24576,0.5034179,0.51415634,0.37914848,0.46557426
